Ticker,Test_Samples,HistMean_MSE_3M,HistMean_DirAcc_3M,HistMean_MSE_1Y,HistMean_DirAcc_1Y,MA_MSE_3M,MA_DirAcc_3M,MA_MSE_1Y,MA_DirAcc_1Y,LR_MSE_3M,LR_DirAcc_3M,LR_MSE_1Y,LR_DirAcc_1Y,RF_MSE_3M,RF_DirAcc_3M,RF_MSE_1Y,RF_DirAcc_1Y,SimpleLSTM_MSE_3M,SimpleLSTM_DirAcc_3M,SimpleLSTM_MSE_1Y,SimpleLSTM_DirAcc_1Y,Hybrid_MSE_3M,Hybrid_DirAcc_3M,Hybrid_MSE_1Y,Hybrid_DirAcc_1Y
KOTAKBANK,890,0.027127993401405565,53.146067415730336,0.13000457539473426,54.71910112359551,0.036121691949412435,47.640449438202246,0.051484981802545404,48.53932584269663,0.03637464316622433,49.21348314606742,0.20523655258170392,46.40449438202247,0.02103691667438845,58.876404494382015,0.045799322593274676,56.067415730337075,0.02703108824789524,52.19399538106235,0.03909027948975563,56.235565819861435,0.007038164418190718,82.7944572748268,0.007047849241644144,75.05773672055427
LT,890,0.03247122799088092,63.033707865168545,0.12950706154809102,86.06741573033709,0.04695783133733126,55.0561797752809,0.2747662904207582,61.46067415730337,0.06531193031971363,46.17977528089888,0.999863591229634,26.29213483146067,0.0506099990176056,36.741573033707866,0.4276300382371618,31.123595505617978,0.032968077808618546,52.3094688221709,0.14256519079208374,88.45265588914549,0.0046439822763204575,89.03002309468823,0.010255846194922924,96.53579676674366
HCLTECH,890,0.022786473944075642,66.51685393258427,0.10713410466770489,82.47191011235955,0.0335435911437595,56.067415730337075,0.18471944911531712,51.12359550561798,0.034747248750555085,44.71910112359551,0.4402694922892087,32.92134831460674,0.04549993710404804,41.57303370786517,0.2575690743805705,28.764044943820227,0.02595462277531624,66.85912240184757,0.14254382252693176,81.98614318706697,0.0064307888969779015,82.90993071593533,0.012099211104214191,91.8013856812933
AXISBANK,890,0.03917536588880338,62.69662921348315,0.13219992512449633,69.5505617977528,0.06407765399241618,46.62921348314607,0.20011666644776005,54.382022471910105,0.03435137666458399,59.43820224719101,0.14069221843713123,52.69662921348315,0.03358191342919732,72.92134831460673,0.22393332474956015,62.35955056179775,0.03599923476576805,60.161662817551964,0.11953354626893997,71.47806004618937,0.004847791977226734,90.06928406466513,0.023420652374625206,90.30023094688222
ASIANPAINT,890,0.018055076426702975,59.7752808988764,0.0837689451620185,75.1685393258427,0.03139543809430024,48.08988764044943,0.10705330141722591,51.79775280898876,0.027500776325499143,53.37078651685393,0.19324248839081162,47.86516853932584,0.044739457261722376,42.80898876404494,0.0761926936540251,75.1685393258427,0.023350689560174942,58.66050808314087,0.09500614553689957,74.48036951501155,0.0036236862652003765,86.25866050808314,0.008352079428732395,88.33718244803696
MARUTI,890,0.020825496264441856,61.573033707865164,0.03301287274161658,89.43820224719101,0.034488634529027805,49.43820224719101,0.0338822386423116,49.8876404494382,0.0208650191175496,59.325842696629216,0.024466547758393863,68.76404494382022,0.018050782234433363,61.348314606741575,0.06877136147666296,39.550561797752806,0.019257301464676857,60.969976905311775,0.020321395248174667,91.33949191685913,0.006486392114311457,83.25635103926096,0.01639702171087265,81.06235565819861
SUNPHARMA,890,0.010270694115651178,76.74157303370787,0.03815914807268324,100.0,0.021046467117896265,48.08988764044943,0.14029336279901794,56.74157303370787,0.014889585910646359,57.19101123595506,0.12799127892435655,52.80898876404494,0.027264031669909063,45.61797752808989,0.18458126776550784,26.179775280898877,0.01060827262699604,77.13625866050808,0.0754745677113533,100.0,0.005084939766675234,76.55889145496536,0.012287784367799759,100.0
TITAN,890,0.028560329508536316,65.28089887640449,0.10230858492307902,88.31460674157303,0.048349406408564284,52.359550561797754,0.1683432352520091,54.9438202247191,0.0477504699363437,45.1685393258427,0.770993004563174,18.876404494382022,0.05328388950524648,49.550561797752806,0.36054871774435504,23.820224719101123,0.029437093064188957,66.16628175519631,0.15329480171203613,90.76212471131639,0.013500947505235672,82.3325635103926,0.020170047879219055,90.76212471131639
ULTRACEMCO,890,0.020006510112646092,66.17977528089888,0.1260607152689567,68.42696629213482,0.030565495037909143,57.41573033707865,0.20044471655378454,52.47191011235955,0.028167082687289655,44.26966292134831,0.33708684594534866,43.48314606741573,0.04262231713505511,48.87640449438202,0.24870477714778835,45.84269662921348,0.019602010026574135,68.01385681293303,0.14691324532032013,70.32332563510393,0.0043275076895952225,88.33718244803696,0.018048429861664772,92.26327944572749
BAJAJFINSV,890,0.074468896909258,59.325842696629216,0.4062124227791248,55.28089887640449,0.13146983964756692,54.382022471910105,0.634618752262003,46.06741573033708,0.07811250888762737,60.337078651685395,0.4273660740452713,65.50561797752809,0.08987226524493123,54.606741573033716,0.7561949260766535,63.70786516853932,0.07575518637895584,78.06004618937644,0.4632568359375,56.812933025404156,0.013902892358601093,90.06928406466513,0.030896814540028572,79.56120092378754
